evenement,lieu,moment,individus,texte
désaccord vif lors d’une sortie scolaire,"172 rue Pasteur, Brignoles",vendredi 24 avril 2015,"un homme, le collègue de travail","Un fait divers a marqué les esprits. 172 rue Pasteur, Brignoles serait le le point de départ de l'incident. On évoque vendredi 24 avril 2015 comme repère temporel. un homme, le collègue de travail a été identifié comme partie prenante."
conflit entre automobilistes,"174 avenue Paul Bert, Chaumont",le 11 juillet à 00h57,,"Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 174 avenue Paul Bert, Chaumont. La période de le 11 juillet à 00h57 est mentionnée."
effondrement partiel d’un plafond,Guyane,,Thomas,Un événement troublant a eu lieu. C’est dans les environs de Guyane que les faits se sont produits. Thomas semble impliqué d’une manière ou d’une autre.
usage illégal de gaz lacrymogène,boulevard Pasteur,lundi,,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent boulevard Pasteur comme contexte géographique. Le déroulement aurait eu lieu à lundi.
faux témoignage délibéré,,en début d’après-midi,une connaissance,"Un fait divers a marqué les esprits. Ce moment précis : en début d’après-midi, revient souvent. une connaissance figure dans les rapports initiaux."
déclenchement visuel d’un voyant rouge,gare routière,,"un avocat, un chauffeur de taxi, un tiers, le frère, un agent immobilier, Hugo Picard, un inconnu","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de gare routière. Une implication possible de un avocat, un chauffeur de taxi, un tiers, le frère, un agent immobilier, Hugo Picard, un inconnu est évoquée."
cambriolage en réunion,boulevard Paul Bert,le matin,,"Un événement troublant a eu lieu. La scène s’est produite à boulevard Paul Bert. Le moment exact reste flou, mais cela remonterait à le matin."
apparition d’un symbole inconnu sur un écran,Hauts-de-France,19/01,"un ingénieur, une connaissance, Léa Lemoine","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Hauts-de-France. Les faits datent de 19/01, d'après certaines sources. La présence de un ingénieur, une connaissance, Léa Lemoine est signalée sur les lieux."
vol de colis dans un hall d’immeuble,"106 boulevard Paul Bert, Briançon",mai 2024,"un ingénieur, un ami","Une disparition suspecte de biens a été signalée. 106 boulevard Paul Bert, Briançon serait le le point de départ de l'incident. On évoque mai 2024 comme repère temporel. un ingénieur, un ami a été identifié comme partie prenante."
bagarre verbale au marché,Carpentras,13 mai 2010,un témoin,Deux individus se sont violemment opposés. Le lieu de l’incident a été identifié comme Carpentras. La période de 13 mai 2010 est mentionnée. Des témoignages font état de un témoin.
encoche fraîchement découpée dans une paroi,Mayotte,4h et 32 minutes,"Hugo Muller, un ami, Gabriel Noël, Nina, un passant, un voisin, une connaissance, Emma Perrin","Un événement troublant a eu lieu. C’est dans les environs de Mayotte que les faits se sont produits. 4h et 32 minutes correspondrait à la période des faits. Hugo Muller, un ami, Gabriel Noël, Nina, un passant, un voisin, une connaissance, Emma Perrin semble impliqué d’une manière ou d’une autre."
désaccord houleux en terrasse de café,terrain de pétanque,2021,"une amie, le mari de Marie, un employé de mairie","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent terrain de pétanque comme contexte géographique. Le déroulement aurait eu lieu à 2021. La situation aurait impliqué une amie, le mari de Marie, un employé de mairie."
cris entendus lors d’un déménagement,,,"un employé de mairie, le fiancé, Claire, la femme de Julien, un témoin","Un fait divers a marqué les esprits. un employé de mairie, le fiancé, Claire, la femme de Julien, un témoin figure dans les rapports initiaux."
dérapage d’un véhicule en virage,le local poubelles,1 juin de l’année 2025,"Noël, un complice, Julien Girard","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de le local poubelles. 1 juin de l’année 2025 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Noël, un complice, Julien Girard est évoquée."
perforation d’un pied par un clou,Aurillac,,"un médecin, un ami, un homme, une voisine","Un événement troublant a eu lieu. La scène s’est produite à la Aurillac. un médecin, un ami, un homme, une voisine aurait été directement concerné."
insultes mutuelles dans une laverie,"90 impasse des Tilleuls, Mâcon",,"Moreau, un voisin, un agent immobilier, Léa Fabre, un facteur","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 90 impasse des Tilleuls, Mâcon. La présence de Moreau, un voisin, un agent immobilier, Léa Fabre, un facteur est signalée sur les lieux."
querelle à propos d’un animal errant,Corrèze,01/2003,Sophie Moreau,Une insulte lancée a provoqué des tensions. Corrèze serait le le point de départ de l'incident. On évoque 01/2003 comme repère temporel. Sophie Moreau a été identifié comme partie prenante.
trace d’humidité autour d’un boîtier électrique,"183 avenue des Tilleuls, Barentin",le 6 novembre à 19h40,"une voisine, un médecin, un visiteur","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 183 avenue des Tilleuls, Barentin. La période de le 6 novembre à 19h40 est mentionnée. Des témoignages font état de une voisine, un médecin, un visiteur."
propos diffamatoires sur les réseaux sociaux,"65 avenue Jean Jaurès, Autun",avril,"un garagiste, un jeune homme, une amie, Picard","Des propos déplacés ont été entendus, créant un malaise. C’est dans les environs de 65 avenue Jean Jaurès, Autun que les faits se sont produits. avril correspondrait à la période des faits. un garagiste, un jeune homme, une amie, Picard semble impliqué d’une manière ou d’une autre."
tentative de vol à main armée,"61 chemin des Lilas, Brignoles",mardi,"un journaliste, un ingénieur","Un acte de vol a été commis discrètement. Plusieurs sources mentionnent 61 chemin des Lilas, Brignoles comme contexte géographique. Le déroulement aurait eu lieu à mardi. La situation aurait impliqué un journaliste, un ingénieur."
tentative d’homicide,Seine-Saint-Denis,,,Un fait divers a marqué les esprits. Les informations pointent vers Seine-Saint-Denis.
prise à partie dans un ascenseur,statue de Jeanne d’Arc,,"Gabriel Fontaine, Marie, une technicienne, la patronne, un agent immobilier, un ingénieur, Antoine Muller","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de statue de Jeanne d’Arc. Une implication possible de Gabriel Fontaine, Marie, une technicienne, la patronne, un agent immobilier, un ingénieur, Antoine Muller est évoquée."
vibration ressentie dans une poignée fixe,avenue des Chênes,2018/06/6,,"Un événement troublant a eu lieu. La scène s’est produite à avenue des Chênes. Le moment exact reste flou, mais cela remonterait à 2018/06/6."
effet de vibration localisée sur une dalle,"87 impasse du Général Leclerc, Chaumont",mars,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 87 impasse du Général Leclerc, Chaumont. Les faits datent de mars, d'après certaines sources."
usage d’une fausse carte d’identité,Franche-Comté,23 octobre,un jeune homme,Un fait divers a marqué les esprits. Franche-Comté serait le le point de départ de l'incident. On évoque 23 octobre comme repère temporel. un jeune homme a été identifié comme partie prenante.
lancer de projectiles,chapelle des pénitents,,un habitant,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme chapelle des pénitents. Des témoignages font état de un habitant.
carambolage sur route,"171 chemin Victor Hugo, Lourdes",vendredi 8 avril 2011,le neveu,"Un événement troublant a eu lieu. C’est dans les environs de 171 chemin Victor Hugo, Lourdes que les faits se sont produits. vendredi 8 avril 2011 correspondrait à la période des faits. le neveu semble impliqué d’une manière ou d’une autre."
résonance anormale d’un objet suspendu,8852,,Camille,Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent 08852 comme contexte géographique. La situation aurait impliqué Camille.
odeur de solvants émanant d’un conduit obstrué,Mayotte,10h53,"quelqu’un, une connaissance","Un fait divers a marqué les esprits. Les informations pointent vers Mayotte. Ce moment précis : 10h53, revient souvent. quelqu’un, une connaissance figure dans les rapports initiaux."
dérive d’un drone,"45 boulevard Victor Hugo, Millau",9h56,"Maxime Garnier, un complice, un inconnu, un employé de mairie, une voisine","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de 45 boulevard Victor Hugo, Millau. 9h56 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de Maxime Garnier, un complice, un inconnu, un employé de mairie, une voisine est évoquée."
variation anormale de luminosité dans une pièce close,Saône-et-Loire,le 1/09/2016 à 12h00,"un jeune homme, une amie","Un événement troublant a eu lieu. La scène s’est produite à Saône-et-Loire. Le moment exact reste flou, mais cela remonterait à le 1/09/2016 à 12h00. un jeune homme, une amie aurait été directement concerné."
racket sur la voie publique,fontaine aux lions,24/09,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de fontaine aux lions. Les faits datent de 24/09, d'après certaines sources."
usage abusif d’un gyrophare,Pamiers,lundi 11 août 2003,"un habitant, un ami","Un fait divers a marqué les esprits. Pamiers serait le le point de départ de l'incident. On évoque lundi 11 août 2003 comme repère temporel. un habitant, un ami a été identifié comme partie prenante."
agression d’un chauffeur de bus,Hauts-de-France,vendredi 28 juin 2024,"un passant, la femme de Julien","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Hauts-de-France. La période de vendredi 28 juin 2024 est mentionnée. Des témoignages font état de un passant, la femme de Julien."
coupure au doigt lors d’un repas,"173 impasse des Lilas, Chaumont",05h07,"un homme, un témoin, un ami, un habitant, un avocat, un notaire, la patronne","Un événement troublant a eu lieu. C’est dans les environs de 173 impasse des Lilas, Chaumont que les faits se sont produits. 05h07 correspondrait à la période des faits. un homme, un témoin, un ami, un habitant, un avocat, un notaire, la patronne semble impliqué d’une manière ou d’une autre."
renversement de peinture sur une personne,arc de triomphe régional,décembre 2016,"un jeune homme, une pharmacienne, la patronne, un tiers","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent arc de triomphe régional comme contexte géographique. Le déroulement aurait eu lieu à décembre 2016. La situation aurait impliqué un jeune homme, une pharmacienne, la patronne, un tiers."
